Brand Glossary,
,
Force Translate Terms,
,
Original Word / Term,Translation / Mapped Word
घटक,component
उपकरण,tool
agile,फुर्तीली
बहुआयामी,मल्टी-डायमंडेशनल
परिवेश,वातावरण
दृष्टिकोण,नजरिया
स्वयं,खुद
ज्ञानवर्धक,Informative
प्रामाणिकता,सच्चाई
सत्र,सेशन
परिवर्तनकारी,बदलाव लाने वाली
नेतृत्व,लीडरशिप
शिक्षार्थियों,स्टूडेंट्स
तिमाही,quarter
एकमुश्त,one-time
आवंटित,allocate
अभ्यास,example
फर्में,कंपनियां
empathy,empathy
assurance,assurance
responsivness,responsivness
classified,classify
classify,classify
dimensions,dimensions
lifetime,lifetime
value,value
Organizations,Organizations
Axis,Axis
Dimension,Dimension
Dynamic,Dynamic
Customer Awareness,Customer Awarness
Consumer awareness,Consumer awareness
Highlight,हाईलाइट
Marketing,मार्केटिंग
Market,मार्केट
Marketer,मार्केटर
Partner,पार्टनर
Advocate,ऐडवोकेट
Supporter,सप्पोर्टर
STP,एस.टी.पी
अनुभव,experience
Targeting,टार्गेटिंग
Positioning,पोज़िशनिंग
Segmentation,सेगमेन्टेशन
Service,सर्विस
Services,सर्विसेस
बनाये रखना,retain
levels,लेवेल्ज़
Ladder,लैडर
संभावित ग्राहक,prospective customer
वर्गीकृत,classified
Defection,पक्षत्याग
Acquire,अधिग्रहण/ अधिग्रहित
विवश,मजबूर
घटकों,हिस्से
,
Don't Translate (Keep As-Is Terms),
,
No.,Term
1,Addeconomies
2,World War II
3,organization
4,relationship
5,maturity
6,growth
7,ancient
8,faithful
9,customer relationship management
10,Second World War
11,week
12,concept
13,concepts
14,consumer
15,consumers
16,active
17,mature
18,ophthalmology
19,Marketing
20,sources
21,managers
22,product
23,customization
24,ophthalmologist
25,core
26,economy
27,exponential
28,exponentially
29,subsidization
30,subsidy
31,standardization
32,standard
33,linear
34,transition
35,transitions
36,feedback
37,Research
38,acquisition
39,continous process
40,table
41,offerings
42,organized retailers
43,industry
44,telecom
45,non-traditional competition
46,PC
47,Suppliers
48,revenue and profits
49,organized
50,linearly
51,conclusion
52,conclusions
53,organizations
54,organisation
55,organisations
56,activity
57,based
58,costing
59,maturing
60,matured
61,revenue
62,profits
63,profit
64,revenues
65,customers
66,customer
67,complie
68,unique
69,employer
70,process
71,experience
72,offering
73,irrigation
74,competitor
75,goods
76,services
77,service
78,internal
79,recruitment
80,intermediateries
81,markets
82,market
83,internally
84,external
85,recruit
86,loyal
87,loyality
88,consume
89,institution
90,II world war
91,organizational
92,organisational
93,discussion
94,forum
95,forums
96,discussions
97,expressed
98,unexpressed
99,express
100,unexpress
101,response
102,responses
103,entry
104,entries
105,relevant
106,long term attractions
107,relevance
108,industries
109,Peglar
110,financial
111,incentives
112,CRM
113,interview
114,acquire
115,acquisitions
116,unconnected
117,connected
118,non-medical
119,medical
120,ailment
121,classified
122,prospective customer
123,partnership
124,loyalty ladder
125,levels
126,values/value
127,product/products
128,service/services
129,marketing effort
130,segmentation
131,targeting
132,positioning
133,business market
134,personal interaction
135,interaction
136,product supporter
137,interactions
138,retention
139,retain
140,word of mouth
141,Customer Touch Point
142,Customer Awareness
143,Regulator
144,discount
145,rate
146,uncertainties
147,uncertain
148,column
149,row
150,profitability
151,analysis
152,profitable
153,life
154,life time
155,short
156,term
157,predisposition
158,analyze
159,analyse
160,frequency
161,provider
162,retailing
163,retail
164,retailer
165,wholesale
166,wholesaler
167,Axis
168,centricity
169,centric
170,cost
171,complex
172,professionals
173,professional
174,department
175,departments
176,comprise
177,compromise
178,comprises
179,failure
180,failures
181,failed
182,fail
183,paradox
184,paradoxically
185,oil
186,reliability
187,satisfaction
188,loyalty
189,lifetime
190,lifetime value
191,value
192,dimensions
193,"reliability, responsiveness, assurance, empathy"
194,insurance
195,donor
196,donors
197,conservative
198,statistical
199,statistics
200,psychology
201,psycho
202,literature
203,sympathy
204,empathy
205,innovation
206,innovations
207,invention
208,inventions
209,weekly
210,commercial
211,production
212,artificial
213,intelligence
214,unified
215,compliance
216,technology
217,resources
218,resource
219,protocol
220,protocols
221,specialized
222,specialize
223,special
224,conviction
225,personalize
226,personalized
227,contract
228,contracts
229,transaction
230,transactions
231,Liabilities
232,opportunity cost
233,manufacturing
234,depreciation
235,justify
